Engine Temperature (C),Oil Pressure (psi),Vibration Level (mm/s),Mileage Since Service (km),Brake Wear (%),Battery Voltage (V),Fuel Efficiency (km/L),Driving Condition,Vehicle Type,Service Plan,Maintenance Priority
94.3,36.2,6.32,21008,112.0,12.36,7.1,Mixed,Truck,Basic,Critical
104.0,41.3,8.31,19216,97.1,12.32,10.2,Mixed,SUV,Basic,Critical
95.8,38.5,5.21,18866,90.6,12.52,11.2,City,SUV,Standard,Urgent
89.7,41.5,4.2,20292,97.8,12.75,11.2,City,SUV,Basic,Monitor
106.7,38.3,7.7,19179,110.6,11.88,13.6,Off-road,Sedan,Standard,Critical
102.9,38.3,5.38,25933,132.1,11.69,11.8,Off-road,Sedan,Basic,Critical
91.9,34.0,4.57,15999,91.2,12.59,15.5,City,Sedan,Basic,Monitor
97.0,37.1,7.26,18628,100.6,12.24,7.2,Off-road,Truck,Standard,Critical
85.6,41.9,3.69,15673,72.6,12.62,9.1,Highway,Van,Basic,Routine
80.0,42.9,1.0,5078,30.5,12.71,15.8,Highway,Sedan,Premium,Routine
97.4,30.7,5.84,22072,108.0,12.24,7.3,City,Truck,Basic,Critical
104.3,23.9,6.69,24585,132.2,12.53,7.5,Off-road,SUV,Basic,Critical
89.6,39.0,5.01,14041,87.5,12.28,15.5,City,Sedan,Basic,Routine
99.9,28.2,5.89,18710,109.3,12.56,14.1,City,Sedan,Basic,Critical
100.2,33.5,7.32,15557,88.0,12.29,10.0,Mixed,SUV,Standard,Critical
96.9,40.8,4.93,19083,96.7,12.8,14.4,City,Sedan,VIP,Routine
105.6,23.7,7.58,14755,88.9,12.12,10.5,Mixed,SUV,Standard,Critical
98.9,34.0,6.35,19825,111.1,12.26,8.1,City,Van,Standard,Critical
105.0,22.0,7.24,20654,113.9,12.57,9.0,Off-road,SUV,Standard,Critical
101.6,32.4,8.39,25221,119.3,11.72,10.0,Off-road,SUV,Standard,Critical
83.9,29.8,6.12,17949,88.7,11.85,12.7,City,Sedan,Basic,Critical
95.3,38.0,5.44,7881,47.8,12.61,7.9,Highway,Truck,Basic,Routine
100.3,31.3,7.41,27631,135.2,11.92,12.5,Off-road,Sedan,Basic,Critical
102.9,29.8,6.03,13504,68.8,12.36,7.2,Mixed,Truck,Standard,Critical
84.3,35.9,5.3,15597,69.2,12.3,15.7,City,Sedan,VIP,Routine
105.8,28.7,7.31,16543,92.9,12.16,6.8,Mixed,Truck,Standard,Critical
87.2,8.9,2.54,7811,51.5,12.41,11.0,Highway,SUV,Basic,Monitor
97.7,36.3,6.21,16567,90.0,11.96,14.5,Mixed,Sedan,Premium,Urgent
94.3,36.5,4.96,19215,94.4,12.26,15.4,City,Sedan,Basic,Monitor
100.2,37.7,4.56,10516,59.3,12.55,9.4,Highway,Van,Basic,Routine
108.6,30.4,7.76,19157,107.9,12.29,8.1,Mixed,Truck,Standard,Critical
98.6,41.7,3.04,8086,48.3,12.52,8.4,Highway,Truck,Premium,Routine
96.0,37.3,4.93,19400,99.8,12.31,7.9,Mixed,Truck,VIP,Urgent
89.8,45.7,4.17,10916,62.1,11.86,13.1,City,Sedan,Basic,Routine
102.5,36.2,5.36,19880,83.6,12.22,15.9,City,Sedan,Standard,Urgent
100.9,42.9,2.92,14726,79.0,11.82,8.6,City,Van,Standard,Monitor
100.6,33.1,8.02,28448,148.6,11.98,6.5,Off-road,Truck,Basic,Critical
105.3,30.0,5.34,21108,113.0,12.21,9.8,Mixed,SUV,Premium,Critical
103.5,35.6,7.83,22824,115.4,12.41,9.5,Off-road,SUV,Premium,Critical
97.4,40.5,6.03,6882,42.6,12.7,15.8,City,Sedan,VIP,Routine
82.6,31.7,3.78,8964,65.9,12.48,14.8,Highway,Sedan,Basic,Routine
91.8,30.8,5.93,16322,91.3,12.05,8.7,City,Van,Basic,Critical
103.7,32.7,7.32,25450,116.4,12.06,14.2,Mixed,Sedan,Premium,Critical
104.9,44.4,5.32,13032,62.8,12.56,12.3,Highway,SUV,Standard,Routine
92.9,22.0,7.98,14666,92.1,12.11,9.3,Mixed,SUV,Standard,Critical
82.3,44.4,1.72,7362,45.1,12.66,15.5,Highway,Sedan,Basic,Routine
81.0,35.5,3.24,10857,61.0,12.75,15.2,Highway,Sedan,Basic,Routine
93.8,37.0,4.49,17171,81.2,12.51,14.5,Mixed,Sedan,Basic,Monitor
96.9,27.9,8.55,23786,115.9,12.06,8.8,Off-road,SUV,Basic,Critical
99.7,25.2,5.66,15040,81.5,12.17,9.7,City,SUV,Basic,Critical
90.4,29.1,3.99,12629,74.7,11.83,10.3,Highway,SUV,Basic,Monitor
95.6,37.5,5.43,18713,86.6,12.57,14.9,City,Sedan,Standard,Monitor
87.5,42.3,4.74,9848,61.8,12.04,11.2,Highway,SUV,Standard,Routine
94.8,24.2,7.42,13008,65.3,12.29,6.2,City,Truck,Standard,Critical
103.1,35.5,6.1,12659,67.6,12.16,16.7,City,Sedan,VIP,Monitor
98.2,36.3,5.07,17128,90.2,12.29,12.9,City,Sedan,Basic,Urgent
106.8,25.7,7.65,24007,129.6,12.06,9.3,Off-road,Truck,Premium,Critical
90.3,30.4,8.6,21485,107.7,12.35,14.5,Off-road,Sedan,Basic,Critical
152.9,26.9,6.46,20542,117.5,12.14,8.6,Off-road,SUV,Basic,Critical
97.6,41.8,3.6,15129,88.8,12.24,15.3,City,Sedan,Basic,Monitor
97.3,28.8,5.69,23179,115.1,12.22,13.9,Off-road,Sedan,Standard,Critical
96.0,33.0,7.18,15648,82.6,12.16,8.1,City,Truck,Premium,Urgent
94.8,28.4,5.97,17763,94.6,12.58,8.1,City,Truck,Standard,Critical
104.0,32.1,6.59,17592,95.8,12.26,12.6,Off-road,Sedan,Basic,Critical
110.5,27.7,7.75,23117,123.0,12.2,9.9,Off-road,SUV,Basic,Critical
111.4,38.7,5.84,19298,91.9,12.62,11.9,City,Van,Standard,Urgent
101.8,40.0,7.15,25254,128.1,12.21,8.9,Off-road,Van,Premium,Critical
100.1,39.9,5.14,15473,84.6,12.24,7.2,City,Truck,Basic,Urgent
87.8,43.8,3.12,13802,72.2,12.35,6.2,Highway,Truck,Basic,Routine
97.3,38.9,4.99,14920,75.4,12.35,14.4,City,Sedan,Standard,Monitor
108.1,27.6,7.41,18399,93.7,11.98,8.0,Off-road,SUV,Standard,Critical
94.5,35.3,5.56,13034,73.1,12.4,14.2,City,Sedan,Premium,Routine
95.0,46.1,3.13,12324,66.8,12.32,16.6,Highway,Sedan,Premium,Routine
100.6,31.0,6.52,25115,117.7,11.94,9.3,Mixed,SUV,Standard,Critical
100.8,26.3,4.2,12867,60.7,12.03,15.6,City,Sedan,Standard,Monitor
93.4,27.3,4.92,21898,114.1,12.13,14.9,Mixed,Sedan,Standard,Critical
98.1,39.9,5.9,12767,67.2,12.72,14.7,Mixed,Sedan,Basic,Routine
87.7,38.8,3.21,12984,71.3,12.53,8.3,Highway,Truck,Standard,Routine
94.2,36.9,7.4,17446,93.8,11.82,7.1,Mixed,Van,Premium,Critical
92.2,36.6,4.82,11503,83.0,12.2,11.3,Highway,SUV,Standard,Monitor
90.6,31.6,7.01,20970,119.3,12.34,13.1,Off-road,Sedan,Basic,Critical
101.5,24.4,6.73,18985,109.6,11.84,10.4,Off-road,SUV,Premium,Critical
93.0,33.3,6.74,10898,69.5,12.74,9.8,City,Truck,VIP,Monitor
95.2,27.3,6.24,16806,97.1,12.01,9.7,Mixed,Van,VIP,Critical
92.8,33.9,4.69,20077,97.6,12.35,15.2,City,Sedan,Standard,Urgent
86.3,34.8,4.1,17066,96.8,12.31,12.3,City,SUV,Basic,Monitor
86.6,39.7,5.28,12192,55.9,12.28,15.7,Highway,Sedan,Standard,Routine
94.7,28.7,7.32,10979,65.0,12.57,11.0,City,SUV,Basic,Urgent
83.7,38.2,5.51,11585,60.8,12.75,11.5,Highway,SUV,Standard,Routine
87.9,43.0,3.85,46775,43.1,12.51,8.7,Highway,Truck,Standard,Monitor
90.9,33.5,5.64,18340,81.9,12.49,14.6,Mixed,Sedan,Standard,Monitor
103.0,31.9,8.66,33635,161.1,11.51,7.9,Off-road,SUV,Standard,Critical
110.8,39.2,6.69,12654,65.9,12.28,10.0,Mixed,SUV,Premium,Urgent
98.7,28.4,6.34,18126,93.0,10.16,7.0,Mixed,Truck,Standard,Critical
95.9,44.1,7.01,13509,78.1,12.65,8.7,Mixed,Van,Premium,Monitor
96.1,34.1,6.44,15892,88.3,12.06,14.6,Mixed,Sedan,Basic,Urgent
86.4,39.5,3.8,21953,104.4,12.56,15.7,City,Sedan,Premium,Monitor
85.5,25.7,5.87,13547,84.0,12.4,14.2,Mixed,Sedan,Basic,Urgent
99.3,34.0,5.21,13507,79.4,12.11,15.2,City,Sedan,Basic,Monitor
83.3,38.9,3.32,9573,53.2,12.31,16.2,Highway,Sedan,Basic,Routine
76.4,43.9,3.56,10049,48.1,12.86,14.7,Highway,Sedan,Basic,Routine
92.2,34.0,15.62,13142,76.6,12.74,15.3,Mixed,Sedan,Standard,Critical
92.3,32.0,6.34,20049,101.1,12.43,8.8,City,Truck,Standard,Critical
87.3,33.2,5.14,11910,57.1,12.55,16.2,Highway,Sedan,Basic,Routine
95.2,31.1,7.86,30530,148.7,12.37,5.2,Off-road,Sedan,Premium,Critical
97.7,35.7,7.53,23386,116.3,12.56,12.9,Off-road,Sedan,Basic,Critical
94.7,43.7,1.28,12495,63.8,12.44,17.3,Highway,Sedan,Premium,Routine
83.3,41.2,6.66,17942,93.5,12.45,7.6,City,Truck,Standard,Urgent
78.0,42.9,3.97,8593,43.8,12.79,16.2,Highway,Sedan,Basic,Routine
105.2,22.7,8.13,17963,93.2,12.24,9.3,Off-road,Truck,Premium,Critical
159.5,36.2,5.71,13674,70.4,9.11,10.9,City,SUV,Premium,Critical
92.7,30.8,2.6,8190,53.8,12.39,13.7,Highway,Sedan,Standard,Routine
80.7,38.0,4.07,7953,49.2,12.36,12.3,Highway,SUV,Standard,Routine
100.2,35.7,4.82,7846,49.4,12.47,11.3,Highway,SUV,Standard,Routine
95.0,28.9,5.45,15486,89.1,12.5,10.4,City,SUV,Standard,Urgent
97.5,36.9,8.17,17106,110.7,12.0,9.6,Mixed,SUV,Basic,Critical
84.5,36.3,4.53,11683,70.0,10.07,9.3,Highway,Van,Basic,Urgent
100.8,43.9,4.23,10228,63.9,12.69,10.9,Highway,Van,Premium,Routine
86.6,39.2,7.43,11965,71.3,12.43,8.1,City,Truck,Premium,Urgent
101.3,42.0,4.33,25422,119.8,11.95,10.2,Mixed,SUV,Standard,Critical
96.7,42.7,7.74,15346,87.3,11.83,14.4,Mixed,Sedan,Standard,Urgent
82.9,36.4,4.57,17130,91.2,12.58,8.3,City,Truck,Premium,Monitor
99.2,34.1,5.59,14401,77.9,12.22,14.2,Mixed,Sedan,Standard,Urgent
94.2,43.0,3.23,11348,53.0,12.14,15.6,Highway,Sedan,Premium,Routine
87.0,29.8,6.14,14818,73.1,12.19,13.9,City,Sedan,Standard,Monitor
96.2,32.0,6.18,16901,95.1,11.88,14.4,Mixed,Sedan,Premium,Urgent
100.6,22.4,7.25,18225,94.3,12.41,11.8,Mixed,SUV,Basic,Critical
85.8,33.7,3.17,9358,52.9,12.53,15.8,Highway,Sedan,Premium,Routine
81.5,42.7,3.88,19139,84.5,12.36,12.0,Highway,SUV,Premium,Routine
94.8,39.5,5.09,19891,92.2,12.31,6.2,City,Truck,Standard,Critical
89.5,37.2,5.04,13865,75.4,12.56,13.7,City,Sedan,Standard,Routine
89.7,33.4,4.65,9153,63.1,12.52,17.1,Highway,Sedan,Standard,Routine
90.9,26.5,7.81,25822,143.5,12.09,6.9,Off-road,Van,Standard,Critical
96.9,34.9,5.94,12275,71.3,12.72,11.9,Mixed,SUV,VIP,Monitor
91.8,32.9,4.49,8694,44.1,12.62,13.0,Highway,SUV,Basic,Routine
97.1,37.5,6.17,20959,112.8,11.92,8.6,Off-road,SUV,Standard,Critical
88.9,36.1,3.47,7705,42.9,12.61,12.0,Highway,SUV,Standard,Routine
87.6,35.3,7.11,18843,99.6,12.39,8.7,City,Van,Premium,Urgent
91.8,40.1,5.38,16416,89.8,12.68,14.3,Mixed,Sedan,Standard,Monitor
98.6,34.9,8.14,23941,115.1,12.22,10.2,Off-road,SUV,Premium,Critical
84.9,43.2,4.49,10020,57.1,12.6,8.6,Highway,Truck,Standard,Routine
91.9,31.7,7.49,12505,77.8,12.55,7.0,City,Truck,Premium,Urgent
94.7,28.4,6.34,8820,54.8,12.16,14.9,Mixed,Sedan,Premium,Monitor
86.1,32.2,6.2,13595,73.3,12.47,6.9,City,Truck,Standard,Urgent
104.4,26.2,6.95,26572,130.7,11.84,6.6,Off-road,Van,Basic,Critical
97.5,30.0,4.99,14415,82.7,12.5,10.2,City,SUV,Standard,Urgent
104.7,40.8,8.1,23476,122.4,12.34,10.5,Off-road,SUV,Standard,Critical
99.6,38.3,6.86,18994,93.1,12.36,8.5,City,Van,Standard,Critical
99.8,37.4,5.97,10868,62.9,12.7,9.0,City,Truck,Basic,Urgent
112.6,34.4,7.09,19674,104.8,12.21,7.9,Mixed,Truck,Premium,Critical
111.3,31.8,4.98,24075,122.9,12.23,14.7,Mixed,Sedan,Standard,Critical
77.7,46.0,3.3,10003,55.2,12.72,16.1,Highway,Sedan,VIP,Routine
95.6,33.6,5.39,20269,95.1,12.42,8.6,City,Van,Premium,Critical
98.3,39.1,5.12,10512,54.3,12.22,14.9,Highway,Sedan,VIP,Routine
91.8,39.5,5.68,12960,72.5,12.62,11.0,City,SUV,Basic,Monitor
93.0,43.0,5.31,19567,104.5,12.15,14.6,City,Sedan,Standard,Monitor
98.6,37.1,6.71,16751,85.6,12.21,11.8,Mixed,SUV,Basic,Urgent
103.7,34.0,5.85,15497,96.0,12.22,10.4,City,SUV,Basic,Critical
109.3,38.4,6.69,21282,123.1,11.85,13.0,Off-road,Sedan,Basic,Critical
93.4,35.5,6.25,25586,129.4,12.46,11.2,Mixed,SUV,Premium,Critical
115.7,28.8,7.99,24374,128.1,11.66,9.4,Off-road,Van,Premium,Critical
86.6,46.5,5.41,11693,64.4,12.02,10.3,City,SUV,Premium,Routine
93.8,37.1,5.72,20803,112.3,12.5,10.7,City,SUV,Standard,Critical
87.1,37.1,6.85,14426,89.1,12.13,11.4,City,SUV,Premium,Urgent
98.6,33.1,6.63,27834,128.8,12.07,12.3,Off-road,Sedan,Basic,Critical
105.8,24.3,5.44,20020,95.7,12.04,14.7,Mixed,Sedan,Standard,Critical
102.9,37.5,8.91,45752,95.4,12.07,9.2,Mixed,Truck,Basic,Critical
85.5,43.2,3.84,10915,59.3,12.39,8.4,Highway,Truck,Basic,Routine
95.1,43.8,5.69,17171,107.2,12.47,10.7,Mixed,SUV,Standard,Urgent
107.8,35.1,7.51,19589,96.6,11.88,6.5,Mixed,Van,Standard,Critical
105.9,35.4,5.9,24564,115.6,12.63,4.9,Mixed,Truck,Basic,Critical
93.7,40.8,6.24,17898,93.5,12.19,15.8,Mixed,Sedan,Premium,Urgent
91.2,36.5,1.46,10637,62.6,12.18,15.1,Highway,Sedan,Standard,Routine
87.5,40.6,3.34,16834,68.5,12.56,11.8,Highway,SUV,Standard,Routine
86.1,45.3,3.12,10204,52.2,12.63,16.1,Highway,Sedan,Basic,Routine
79.2,32.4,6.49,8723,40.2,12.64,15.4,Highway,Sedan,Basic,Routine
93.1,33.7,5.61,20287,110.4,12.36,15.1,Mixed,Sedan,Standard,Urgent
98.6,33.2,5.83,10136,56.8,9.09,8.6,City,Truck,Premium,Critical
98.2,40.1,6.06,16099,81.2,12.41,10.8,City,Van,VIP,Monitor
101.0,32.6,5.36,18032,90.6,12.39,15.9,Mixed,Sedan,Premium,Monitor
96.8,34.4,5.55,12944,68.9,12.04,7.0,City,Truck,Basic,Critical
96.1,33.8,16.25,14050,81.9,12.71,14.8,City,Sedan,Basic,Critical
109.1,22.7,8.76,18189,97.7,12.22,14.0,Off-road,Sedan,VIP,Critical
85.1,29.4,4.32,8242,53.9,12.66,15.1,City,Sedan,Premium,Routine
96.6,47.3,4.58,17028,81.2,12.23,14.0,City,Sedan,Basic,Monitor
100.9,37.7,10.24,23297,121.8,12.24,4.1,Off-road,Truck,Basic,Critical
97.0,26.4,5.99,21143,104.8,12.13,9.8,City,SUV,Standard,Critical
98.8,34.6,6.46,14630,72.4,12.11,9.7,City,SUV,Basic,Urgent
92.4,42.2,5.89,9541,45.4,12.67,7.9,Highway,Truck,Basic,Routine
95.1,41.5,4.94,18853,98.5,12.48,15.5,Mixed,Sedan,Standard,Monitor
105.2,25.4,6.84,17208,94.1,12.24,7.1,Mixed,Truck,Standard,Critical
96.2,32.6,17.41,24486,123.7,12.18,6.5,Off-road,Truck,Standard,Critical
89.0,30.5,5.66,20151,104.9,12.71,10.7,City,SUV,Standard,Critical
91.3,37.0,3.9,6702,43.8,12.25,11.7,Highway,SUV,Standard,Routine
96.6,46.3,4.2,15273,75.7,12.22,12.6,Highway,SUV,Premium,Routine
103.6,42.3,7.31,17098,85.8,12.22,6.0,City,Truck,Standard,Critical
106.2,36.6,4.32,11808,66.0,12.28,14.9,City,Sedan,Premium,Routine
80.9,44.9,17.02,12929,67.0,12.73,17.4,Highway,Sedan,Standard,Urgent
96.0,37.9,5.99,16903,136.7,12.29,6.9,City,Truck,Standard,Critical
97.1,32.6,20.56,12686,130.6,12.41,8.9,City,Truck,VIP,Critical
106.0,38.6,5.89,18618,93.7,12.24,7.3,Mixed,Van,Standard,Critical
90.1,27.3,7.03,24623,123.9,12.62,8.0,Mixed,Van,Basic,Critical
92.2,35.2,5.57,16065,89.6,12.25,15.0,City,Sedan,VIP,Monitor
101.3,44.7,3.8,14535,77.8,12.5,15.7,Highway,Sedan,Standard,Routine
101.6,31.8,8.36,25660,124.4,12.03,9.3,Off-road,SUV,Basic,Critical
98.5,36.8,5.43,20394,97.2,11.82,11.9,City,SUV,VIP,Urgent
92.7,37.1,3.72,14055,70.8,12.71,16.1,Highway,Sedan,Standard,Routine
103.2,40.0,7.62,18674,105.0,11.86,6.6,Mixed,Truck,Standard,Critical
168.6,32.7,6.7,19514,90.8,12.54,11.1,Mixed,SUV,Premium,Critical
95.7,30.8,6.54,24575,130.1,11.73,12.3,Off-road,Sedan,Standard,Critical
95.8,29.9,6.14,19997,113.3,12.41,14.0,Off-road,Sedan,Premium,Critical
100.3,38.1,6.01,15290,73.5,12.32,8.8,City,Truck,VIP,Monitor
97.6,40.9,3.07,10700,44.4,12.25,10.1,Highway,Van,VIP,Routine
106.7,34.2,6.82,14927,78.3,12.2,7.6,City,Truck,Basic,Critical
79.1,49.2,3.91,10521,53.4,12.49,16.7,Highway,Sedan,Premium,Routine
91.4,38.6,4.65,12173,67.8,12.16,14.2,City,Sedan,Standard,Routine
81.8,43.8,5.41,13189,68.8,12.25,11.0,Highway,SUV,Basic,Routine
94.4,36.5,4.65,11979,64.7,12.62,12.0,City,SUV,Basic,Routine
98.7,33.6,6.67,12518,79.8,12.5,7.4,City,Truck,Premium,Urgent
105.1,24.3,7.59,19838,96.2,12.27,10.0,Off-road,SUV,Basic,Critical
87.2,35.4,5.33,10389,65.6,12.19,8.5,City,Van,Standard,Monitor
92.7,39.5,5.9,16274,83.1,12.1,15.8,City,Sedan,Standard,Monitor
89.6,35.9,4.37,6312,48.6,12.24,12.0,Highway,SUV,Standard,Routine
92.5,31.9,4.94,12648,73.4,12.67,14.8,City,Sedan,Premium,Routine
87.9,30.0,6.6,14631,87.4,12.24,15.9,City,Sedan,Premium,Monitor
88.7,38.7,2.92,12816,57.6,12.17,10.8,Highway,Van,Basic,Routine
85.1,42.1,3.85,14087,76.8,12.4,15.5,Highway,Sedan,Basic,Routine
94.3,46.1,5.92,18041,92.0,12.63,15.0,City,Sedan,Standard,Routine
97.0,31.4,7.27,12721,70.8,12.24,7.0,City,Truck,Standard,Critical
88.0,38.3,3.11,7735,47.0,12.43,15.5,Highway,Sedan,Standard,Routine
99.1,39.6,6.76,15269,88.1,12.17,10.9,Mixed,SUV,VIP,Urgent
92.8,36.9,3.55,11284,57.2,12.32,11.8,Highway,SUV,Basic,Routine
92.5,27.7,6.07,17710,101.3,9.49,13.9,Mixed,Sedan,Standard,Critical
85.1,37.5,3.04,9203,47.0,12.42,16.4,City,Sedan,Standard,Routine
89.5,37.3,3.05,10103,56.8,12.08,9.1,Highway,Van,Standard,Routine
148.1,42.1,4.65,11452,56.1,12.28,15.6,Highway,Sedan,Standard,Routine
102.5,38.6,6.5,19791,110.9,12.36,5.9,Mixed,Truck,Standard,Critical
103.7,31.4,6.64,16812,93.4,12.6,9.6,Mixed,SUV,Standard,Critical
91.2,40.2,19.81,8875,45.1,12.73,12.0,Highway,SUV,Premium,Critical
90.8,39.9,3.64,14457,69.7,12.8,13.2,Highway,SUV,Premium,Routine
88.6,24.1,8.1,16764,93.9,11.9,4.7,Off-road,Truck,Basic,Critical
82.9,40.0,5.49,20999,109.4,12.49,3.2,City,Sedan,Basic,Critical
83.9,9.8,5.42,16919,80.2,11.93,15.8,City,Sedan,Standard,Urgent
85.1,41.0,5.85,16216,75.8,12.35,13.8,Mixed,Sedan,Basic,Monitor
103.9,6.1,6.28,20453,110.5,11.76,14.0,Off-road,Sedan,Standard,Critical
89.0,38.1,5.24,20072,103.5,12.17,9.7,City,Van,Standard,Urgent
83.9,39.4,2.7,6268,42.0,8.61,9.4,Highway,Van,Standard,Urgent
104.0,37.5,5.72,14882,77.3,12.43,10.2,City,SUV,Basic,Urgent
89.0,31.8,3.91,15014,63.5,12.72,10.7,Highway,SUV,Standard,Routine
103.6,32.6,5.66,15154,82.1,12.08,9.0,Off-road,Van,Standard,Critical
89.9,25.9,5.8,46691,135.8,12.26,12.9,Off-road,Sedan,Basic,Critical
82.1,45.6,2.79,9312,53.1,12.87,15.9,Highway,Sedan,Premium,Routine
91.9,43.1,6.37,17116,79.0,12.17,7.4,City,Truck,Premium,Urgent
92.9,32.2,6.43,17647,96.1,12.29,10.0,Mixed,SUV,Standard,Critical
100.0,34.2,5.76,21751,104.7,12.34,13.5,Mixed,Sedan,Basic,Critical
96.0,35.2,4.46,14371,78.6,12.44,11.4,City,SUV,Premium,Monitor
95.4,35.7,7.72,10826,67.4,12.19,14.4,City,Sedan,Basic,Monitor
101.7,37.9,7.06,43650,85.2,12.19,9.8,Mixed,SUV,Standard,Critical
158.8,35.5,3.97,18331,85.1,12.31,14.2,City,Sedan,Standard,Critical
96.2,38.2,5.55,16687,89.6,12.67,9.8,Mixed,SUV,Basic,Urgent
103.4,33.3,5.34,21104,111.6,12.21,14.2,Mixed,Sedan,Standard,Critical
95.1,38.5,3.23,13741,57.0,12.66,15.5,Highway,Sedan,Premium,Routine
98.9,31.1,7.44,23514,124.9,11.85,7.2,Mixed,Truck,Basic,Critical
90.5,35.2,6.57,20107,97.4,12.61,14.1,City,Sedan,Standard,Monitor
108.5,33.6,14.67,28275,144.0,11.87,12.5,Off-road,Sedan,Standard,Critical
94.8,40.1,4.48,14468,91.7,12.57,15.3,City,Sedan,VIP,Routine
106.3,33.3,7.6,27359,139.4,12.12,8.0,Off-road,Truck,Premium,Critical
97.4,36.6,6.55,16790,89.7,12.59,10.8,Mixed,SUV,Standard,Urgent
86.7,36.3,5.95,19712,97.6,12.52,9.9,City,Truck,Standard,Urgent
104.4,31.3,6.58,19880,94.3,12.05,14.5,Mixed,Sedan,Standard,Critical
76.3,36.9,4.77,14077,59.2,12.47,15.5,Highway,Sedan,Standard,Routine
82.0,34.8,4.09,16477,77.0,12.25,3.9,Highway,SUV,Standard,Monitor
90.1,26.6,5.59,16478,88.9,12.42,12.4,City,SUV,Premium,Urgent
89.7,40.8,5.86,13660,72.1,12.23,10.7,City,SUV,Standard,Monitor
101.2,33.5,6.38,19211,112.6,11.91,13.2,Mixed,Sedan,Basic,Critical
104.1,46.6,5.24,17267,98.1,12.13,7.3,City,Truck,Standard,Urgent
87.6,34.7,7.21,9926,57.2,12.25,9.2,City,Truck,Premium,Monitor
95.6,37.0,5.32,15171,81.0,12.28,9.3,City,SUV,Basic,Urgent
135.8,30.6,2.95,5167,33.3,12.55,16.8,Highway,Sedan,Basic,Routine
103.4,28.1,6.33,20842,108.9,12.27,9.3,Off-road,SUV,Premium,Critical
101.6,28.2,5.69,23551,109.7,12.13,8.6,City,SUV,Standard,Critical
104.9,34.0,8.01,23143,115.0,12.07,6.2,Mixed,Truck,Standard,Critical
96.2,35.6,7.45,23164,117.8,11.99,15.8,Mixed,Sedan,Premium,Critical
95.3,36.1,4.97,15082,79.2,12.5,8.8,City,Truck,Basic,Urgent
96.0,38.2,7.08,19746,103.8,11.95,4.2,Mixed,Sedan,Basic,Critical
85.5,44.2,3.89,11120,46.1,12.18,8.1,Highway,Truck,Standard,Routine
87.7,39.5,5.07,12413,62.6,12.56,15.2,City,Sedan,Standard,Routine
100.9,41.6,3.62,8081,49.0,12.43,8.7,Highway,Truck,Standard,Routine
106.8,34.1,7.95,27353,141.2,12.04,11.2,Off-road,SUV,Premium,Critical
141.4,42.4,4.39,10414,58.5,12.49,9.9,Highway,Van,Standard,Monitor
105.1,33.4,7.65,24231,125.2,12.06,6.7,Off-road,Truck,Standard,Critical
100.3,32.4,5.7,15867,73.8,12.85,10.3,City,Van,Premium,Monitor
94.4,41.0,5.19,17475,84.9,12.19,10.9,Mixed,SUV,Standard,Urgent
102.1,40.6,7.72,24338,117.4,12.38,6.0,Off-road,Truck,Premium,Critical
95.9,33.2,6.88,24128,111.1,12.13,14.5,Mixed,Sedan,Standard,Critical
84.4,34.2,16.14,17506,97.8,12.34,10.6,Mixed,SUV,Basic,Critical
85.5,30.0,4.53,11281,70.8,12.45,14.0,Highway,Sedan,Standard,Routine
90.8,42.3,3.8,9751,49.9,12.19,9.2,Highway,Truck,Standard,Routine
97.0,38.6,4.95,15356,80.4,12.56,6.8,City,Truck,Basic,Urgent
106.4,38.2,5.93,14999,74.3,12.14,11.4,City,SUV,Standard,Urgent
99.1,35.0,6.84,23747,125.9,11.51,15.5,Off-road,Sedan,Basic,Critical
93.4,31.0,4.1,15203,81.0,12.27,16.4,Highway,Sedan,Standard,Routine
87.2,28.5,6.25,19572,97.3,12.04,7.7,City,Van,Standard,Critical
86.9,47.6,5.26,9341,58.9,12.38,9.5,Highway,Van,Premium,Routine
90.7,38.5,5.63,17595,92.5,12.4,9.6,Mixed,Truck,Premium,Urgent
106.1,29.9,7.07,15607,98.8,12.05,7.1,Off-road,Truck,VIP,Critical
85.9,39.7,4.88,11468,57.2,12.43,9.8,Highway,Van,Standard,Routine
93.5,24.2,7.2,25943,130.5,12.24,10.2,Off-road,SUV,Basic,Critical
91.2,26.5,6.84,17514,85.6,12.18,7.1,Mixed,Truck,Standard,Critical
82.7,29.9,5.08,19536,101.8,12.5,15.5,City,Sedan,Premium,Monitor
95.4,33.2,9.13,20538,110.4,12.21,10.2,Off-road,SUV,Standard,Critical
97.5,35.2,5.4,14294,82.9,11.93,14.0,Mixed,Sedan,Standard,Urgent
99.8,31.9,6.08,26824,140.4,11.73,14.3,Mixed,Sedan,Basic,Critical
89.2,40.8,2.99,16044,67.7,12.73,14.8,Highway,Sedan,Premium,Routine
81.8,38.2,4.17,10124,51.8,12.49,15.5,Highway,Sedan,Premium,Routine
107.4,27.4,6.69,19598,100.1,12.29,9.3,Off-road,Van,Premium,Critical
89.6,38.6,2.66,7019,41.4,12.39,16.3,Highway,Sedan,VIP,Routine
103.0,25.2,7.29,17603,101.4,12.01,7.4,Mixed,Truck,Standard,Critical
93.4,34.3,6.57,23533,120.1,12.19,10.6,City,SUV,Standard,Critical
89.8,32.0,6.44,72220,96.4,12.1,6.5,City,Truck,Basic,Critical
